,tweetId,createdAt,text,retweetCount,likeCount,isQuote,place,hashtags,userMentions,source,sourceUrl,userId,userName,userScreenName,userCreatedAt,userFollowersCount,userDescription,userVerified,userProtected,userLocation,userFriendsCount,userStatusesCount,userListedCount
0,1324056762220122113,2020-11-04 18:31:46,#CountEveryVote #CountAllTheVotes #CountTheVotes #BidenHarris2020 #Biden https://t.co/wzNnWBieRS,0,0,True,,"{'text': 'CountEveryVote', 'indices': [0, 15]},{'text': 'CountAllTheVotes', 'indices': [16, 33]},{'text': 'CountTheVotes', 'indices': [34, 48]},{'text': 'BidenHarris2020', 'indices': [49, 65]},{'text': 'Biden', 'indices': [66, 72]}",,Twitter Web App,https://mobile.twitter.com,23856239,Gary Spivack,thegaryspivack,2009-03-11 23:54:23,116,DWP-executive VP,False,False,"Los Angeles, CA",460,3611,1
,1324056762073448448,2020-11-04 18:31:46,@MTSpace60 @sdr_medco And they wont. They don’t want to jump the gun. This election is too important.… https://t.co/4F7RMSRNAC,0,0,False,,,,"{'screen_name': 'MTSpace60', 'name': 'MT', 'id': 186253983, 'id_str': '186253983', 'indices': [0, 10]},{'screen_name': 'sdr_medco', 'name': '🌺💙 SHEILA 💙🌺', 'id': 1113259788, 'id_str': '1113259788', 'indices': [11, 21]}",Twitter for iPad,http://twitter.com/#!/download/ipad,52636932,Deb Dhampyr (she/her) #FBR,DebDhampyr,2009-07-01 04:49:55,933,"Nasty, Unruly, Bleeding Heart, Libtard, Snowflake, and proud of it!
🌊🌊🌊 #Biden2020 #DumpTrump #FBR #Resist #TheResistance #BLM #MaskUp #VoteThemOut 🌊🌊🌊",False,False,"St Paul, MN",1438,25064,0
,1324056759909208064,2020-11-04 18:31:46,"RT @WhenWeAllVote: Waiting is hard, but democracy is worth waiting for. 

#CountEveryVote.",507,0,False,,,"{'text': 'CountEveryVote', 'indices': [74, 89]}","{'screen_name': 'WhenWeAllVote', 'name': 'When We All Vote', 'id': 1004804740105035777, 'id_str': '1004804740105035777', 'indices': [3, 17]}",Twitter for iPhone,http://twitter.com/download/iphone,380036265,make a plan to vote TODAY,moorganbooker,2011-09-25 23:55:09,631,"the trayvon martin generation. so goes ohio, so go vote. retweets are not endorsements. thoughts and opinions are my own. she/her/g",False,False,my ancestor’s wildest dreams,1838,33641,5
,1324056759552544769,2020-11-04 18:31:45,"This election, we proved nothing will stop us from making our voices heard and our votes counted. We turned out in… https://t.co/5vw8n6YqAz",0,0,False,,,,,Twitter Web App,https://mobile.twitter.com,555976961,Christine Harada,chrismit94,2012-04-17 13:43:09,530,"Former US Chief Sustainability Officer under Pres. Obama, Chief Acquisition Officer @USGSA. Recovering rocket scientist & native Angeleno. Views my own.",False,False,,616,2920,10
,1324056759271673856,2020-11-04 18:31:45,"RT @Monaheart1229: Wow
This is not good news for anyone other than Collins 
She's just going to get worse now 
#CountEveryVote https://t.co…",1,0,True,,,"{'text': 'CountEveryVote', 'indices': [111, 126]}","{'screen_name': 'Monaheart1229', 'name': 'Mona', 'id': 3493563087, 'id_str': '3493563087', 'indices': [3, 17]}",Twitter Web App,https://mobile.twitter.com,856131595518005253,Peggy in PA,StunnedVoter,2017-04-23 13:04:13,1912,"Villanova, EKU alum. who has lived in KY, IA, MO, NC and NM, PA. Now a retired teacher who can't believe Trump is still in WH. Hopefully, not for long!",False,False,"Pennsylvania, USA",3207,346036,6
,1324056758642335744,2020-11-04 18:31:45,"#CountEveryVote Michigan Democrats  

Trump is whining like the big baby he is because he knows he lost. He can't s… https://t.co/6nlBnwI7dh",0,0,False,,,"{'text': 'CountEveryVote', 'indices': [0, 15]}",,Twitter Web App,https://mobile.twitter.com,546900179,🌊🌊 ‏ Sal Chica,LuisSalchi,2012-04-06 15:41:04,3516,"A proud ""loser"" and ""sucker"" who will #VoteBlue2020.

🌊You Follow, I Follow Back 🌊",False,False,,3821,10869,5
,1324056758462095360,2020-11-04 18:31:45,"RT @HollandTaylor: ""Waiting is hard, but democracy is worth waiting for. #CountEveryVote"" https://t.co/EfrKB7h7Lb",110,0,False,,,"{'text': 'CountEveryVote', 'indices': [73, 88]}","{'screen_name': 'HollandTaylor', 'name': 'Holland Taylor', 'id': 162501671, 'id_str': '162501671', 'indices': [3, 17]}",Twitter Web App,https://mobile.twitter.com,537304836,Sue 🌈,graight108,2012-03-26 13:37:03,919,"i'm gay, that's all
📷 & 👻 - surifm
🎓 - FLUC
Azul e Branco é o Coração 💙",False,False,"Coimbra, Portugal",472,84181,3
,1324056756750897154,2020-11-04 18:31:45,RT @NSLforBiden: .@JoeBiden has received more votes for president than any other candidate in 🇺🇸 history! #CountEveryVote https://t.co/d1S5…,20,0,False,,,"{'text': 'CountEveryVote', 'indices': [106, 121]}","{'screen_name': 'NSLforBiden', 'name': 'National Security Leaders for Biden', 'id': 1275230331696746497, 'id_str': '1275230331696746497', 'indices': [3, 15]},{'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [18, 27]}",Twitter Web App,https://mobile.twitter.com,871325737667743744,WEAR A MASK. PROTECT EVERYONE.,Lion_Mane_,2017-06-04 11:20:19,854,Cycling scientist. Volunteer. I do good. Socialist. Antifascist. Humanist. F/Scot in Wales. SNP. I'm European.    #BLM #Solidarity #BlueWave #BidenHarris #JC4L,False,False,United Kingdom ,1957,9463,3
,1324056756536795137,2020-11-04 18:31:45,"RT @joncoopertweets: President-elect Joe Biden — has a nice ring to it! 😃
#CountEveryVote",613,0,False,,,"{'text': 'CountEveryVote', 'indices': [74, 89]}","{'screen_name': 'joncoopertweets', 'name': 'Jon Cooper 🇺🇸', 'id': 27493883, 'id_str': '27493883', 'indices': [3, 19]}",Twitter Web App,https://mobile.twitter.com,1208421803556659200,BIDEN WON - SUCK IT MAGA,Resistance_Won,2019-12-21 16:20:04,3865,"I gave Trump 4 years to prove he could unite the country, but the resistance won the battle and it’s time to Unite With Biden.",False,False,In Every State in America,3667,458,0
,1324056753915518981,2020-11-04 18:31:44,#CountEveryVote https://t.co/8qFlnwd98c,0,0,True,,,"{'text': 'CountEveryVote', 'indices': [0, 15]}",,Twitter for iPhone,http://twitter.com/download/iphone,815964435265257472,Marie Littlefield,MarieLitt99,2017-01-02 16:54:16,110,🇺🇸,False,False,"Michigan, USA",350,11623,0
,1324056753651150848,2020-11-04 18:31:44,Hei! Excellent point!!!! #CountEveryVote https://t.co/FvrFgoeQLf,0,0,True,"Place(_api=<tweepy.api.API object at 0x0000024E6BB3EF98>, id='01241e9666cacdd2', url='https://api.twitter.com/1.1/geo/id/01241e9666cacdd2.json', place_type='city', name='Eugene', full_name='Eugene, OR', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000024E6BB3EF98>, type='Polygon', coordinates=[[[-123.208615, 43.988281], [-123.0361879, 43.988281], [-123.0361879, 44.142961], [-123.208615, 44.142961]]]), attributes={})",,"{'text': 'CountEveryVote', 'indices': [25, 40]}",,Twitter for iPhone,http://twitter.com/download/iphone,14040182,Maija Liisa Salminen 🌊🌊🌊,mamam,2008-02-27 01:09:28,187,If my grandparents came over illegally does that make me deportable? send me back to Finland if #IMPOTUS is re-elected. #BlackLivesMatter #Resist #TrumpKills,False,False,Oregon,603,1528,0
