,tweetId,createdAt,text,retweetCount,likeCount,isQuote,place,hashtags,userMentions,source,sourceUrl,userId,userName,userScreenName,userCreatedAt,userFollowersCount,userDescription,userVerified,userProtected,userLocation,userFriendsCount,userStatusesCount,userListedCount
0,1324056729374646279,2020-11-04 18:31:38,"RT @pnrodenbush: Hard to overstate the importance this morning of winning Gov/State AG/Sec. of State races in Michigan, Wisconsin, and Penn…",327,0,False,,,"{'screen_name': 'pnrodenbush', 'name': 'Patrick Rodenbush', 'id': 140188005, 'id_str': '140188005', 'indices': [3, 15]}",Twitter for iPhone,http://twitter.com/download/iphone,617512807,clark,youdoyoudawg,2012-06-24 21:55:08,1278,• un demi-litre de baise toi • you're welcome to leave my page • (he/him),False,False,Slytherin Common Room,665,144180,21
,1324056728355262464,2020-11-04 18:31:38,"We just need Michigan, Wisconsin, and Nevada.

But we also need majority senate, which is less likely😰",0,0,False,,,,,Twitter Web App,https://mobile.twitter.com,310937839,Press f(🎃) to Continue,MattGardea,2011-06-04 16:20:18,167,"“I'll probably be reborn as a flower that's small but full of strong vitality."" 💜✨Enby: They/She/He (order of preference)✨💜",False,False,,221,15353,2
,1324056728313434113,2020-11-04 18:31:38,"RT @PortalTracklist: Biden está na frente de Trump em Michigan com uma diferença de 45,380 votos.

E 21 mil em Wisconsin. 

Que continue as…",49,0,False,,,,"{'screen_name': 'PortalTracklist', 'name': 'Tracklist', 'id': 132699857, 'id_str': '132699857', 'indices': [3, 19]}",Twitter for iPhone,http://twitter.com/download/iphone,92979491,BUY AND STREAM #SMILE,eipaulorossi,2009-11-27 14:32:48,1529,aqui é pra reclamar mesmo fingir felicidade a gente finge nas outras redes sociais,False,False,"Crato, Ceará",3862,87798,7
,1324056727466184706,2020-11-04 18:31:38,"RT @DonCorneliano2: Aún perdiendo Michigan y Wisconsin, de mantenerse esta tendencia con GA, PA y NC, gana Trump. 

(Lo que falta en Arizon…",208,0,True,,,,"{'screen_name': 'DonCorneliano2', 'name': 'Jorge Rengifo 🇻🇪', 'id': 773003748360785920, 'id_str': '773003748360785920', 'indices': [3, 18]}",Twitter for Android,http://twitter.com/download/android,1031285814,NESTOR ORDOÑEZ,NESTOR_FELIPE74,2012-12-23 20:37:47,313,"Profesional:  Responsable y Serio. Analista, Luchador,  Soñador y Trabajador Incansable por Mi, Mi Entorno, Mi Familia, Mi Mundo y Mi País",False,False,MARACAIBO. VENEZUELA,2063,10290,2
,1324056727445262339,2020-11-04 18:31:38,RT @jameslately: #Michigan this morning was like... https://t.co/YEhVVqLTuv,8500,0,False,,,"{'text': 'Michigan', 'indices': [17, 26]}","{'screen_name': 'jameslately', 'name': 'james lately 🅧', 'id': 2252251026, 'id_str': '2252251026', 'indices': [3, 15]}",Twitter for iPhone,http://twitter.com/download/iphone,1436268547,nat,xgnat,2013-05-17 17:36:21,195,,False,False,,123,9213,7
,1324056727294271494,2020-11-04 18:31:38,"RT @MashiRafael: Conteo en Michigan, con 95%, acaba de cambiar a liderazgo demócrata. Los votos por correo -mayoritariamente demócratas- se…",1083,0,False,,,,"{'screen_name': 'MashiRafael', 'name': 'Rafael Correa', 'id': 209780362, 'id_str': '209780362', 'indices': [3, 15]}",Twitter for Android,http://twitter.com/download/android,2901152765,Edgardo,wechc26,2014-12-01 20:06:38,189,,False,False,"Pichincha, Ecuador",1130,30486,0
,1324056727118139394,2020-11-04 18:31:38,RT @el_pais: Biden se pone en cabeza en los decisivos Michigan y Wisconsin mientras Trump redobla las acusaciones de fraude https://t.co/y3…,5,0,False,,,,"{'screen_name': 'el_pais', 'name': 'EL PAÍS', 'id': 7996082, 'id_str': '7996082', 'indices': [3, 11]}",Twitter Web App,https://mobile.twitter.com,2332287589,Ricardo Tejada,Cutralla,2014-02-07 19:05:33,1421,"#Exilios, #ecología: lo que más me preocupa. Pasión por el #arte. Doct.en #filosofía, #hispanista (Université du Mans). #Ensayista.
Je twitte aussi en français.",False,False,Le Mans (Francia),4999,45918,30
,1324056726816071682,2020-11-04 18:31:38,RT @LakeShowYo: Michigan this morning https://t.co/F9SFROgWkW,11328,0,False,,,,"{'screen_name': 'LakeShowYo', 'name': 'LakeShowYo', 'id': 3177285932, 'id_str': '3177285932', 'indices': [3, 14]}",Twitter for iPhone,http://twitter.com/download/iphone,391786287,Dyl,Dyllon_Doerr,2011-10-16 03:14:29,1297,,False,False,"San Marcos, TX",690,6964,9
,1324056726782595072,2020-11-04 18:31:38,RT @jameslately: #Michigan this morning was like... https://t.co/YEhVVqLTuv,8500,0,False,,,"{'text': 'Michigan', 'indices': [17, 26]}","{'screen_name': 'jameslately', 'name': 'james lately 🅧', 'id': 2252251026, 'id_str': '2252251026', 'indices': [3, 15]}",Twitter for iPhone,http://twitter.com/download/iphone,293875149,x,lucif5er,2011-05-06 04:02:43,885,Sorry ahead of time. 24🤭,False,False,Greed Island,183,13151,1
,1324056726765768705,2020-11-04 18:31:38,"RT @AbbyMartin: This is exactly why Trump/GOP blocked key states like Pennsylvania, Michigan &amp; Wisconsin from counting mail-in ballots befo…",342,0,False,,,,"{'screen_name': 'AbbyMartin', 'name': 'Abby Martin', 'id': 24258355, 'id_str': '24258355', 'indices': [3, 14]}",Twitter for iPhone,http://twitter.com/download/iphone,981950585023889408,sanj⁷,namkookerz,2018-04-05 17:43:58,5370,"#남국: even though i always know the morning will come, i want to stay in your sky like a star | she/her",False,False,✜ 22 ✜,1736,75968,33
,1324056726044225536,2020-11-04 18:31:37,Am I missing something?  One is from the official Michigan Election Board website and one is from @FoxNews https://t.co/RGGarAIoUq,0,0,False,,,,"{'screen_name': 'FoxNews', 'name': 'Fox News', 'id': 1367531, 'id_str': '1367531', 'indices': [98, 106]}",Twitter for iPhone,http://twitter.com/download/iphone,1311154064462245890,PatriotTony1776,PTony1776,2020-09-30 04:01:20,217,@PabstBlueRibbon drinking @kidrock listening proud American!,False,False,"San Jose, CA",369,587,0
