,tweetId,createdAt,text,retweetCount,likeCount,isQuote,place,hashtags,userMentions,source,sourceUrl,userId,userName,userScreenName,userCreatedAt,userFollowersCount,userDescription,userVerified,userProtected,userLocation,userFriendsCount,userStatusesCount,userListedCount
0,1323852852700368899,2020-11-04 05:01:30,"BREAKING: Oregon becomes first U.S. state to decriminalize possession of all drugs, including cocaine, heroin, and… https://t.co/5b9tfqH5hr",23694,78249,False,,,,TweetDeck,https://about.twitter.com/products/tweetdeck,189305014,BNO News,BNONews,2010-09-10 22:43:34,176998,"Breaking news and developing stories from the U.S. and around the world. For continuing coverage of coronavirus, follow our second account: @BNODesk",True,False,,4,19560,2786
,1323687603460362245,2020-11-03 18:04:52,"drugs on the ballot today:

Arizona — legalize marijuana
DC — decriminalize mushrooms
Mississippi — legalize medica… https://t.co/nHuI53cUKy",3116,9506,False,,,,,Twitter Web App,https://mobile.twitter.com,4824038954,Alex Thomas,AlexThomas,2016-01-28 05:13:38,16089,"columnist @playboy, @menshealthmag",True,False,,931,278,199
,1323839290246389760,2020-11-04 04:07:37,Oregon made history tonight by becoming the first state to decriminalize drug possession! Our c4 @DrugPolicyAct led… https://t.co/s9pNxUn4HI,3413,9309,False,,,,"{'screen_name': 'DrugPolicyAct', 'name': 'Drug Policy Action', 'id': 475098973, 'id_str': '475098973', 'indices': [97, 111]}",Twitter Web App,https://mobile.twitter.com,16312001,Drug Policy Alliance,DrugPolicyOrg,2008-09-16 15:33:13,92622,"The nation's leading organization promoting drug policies that are grounded in science, compassion, health & human rights. Executive Director: @kassandra_fred.",True,False,United States - HQ in NY,1979,19661,1454
,1323844364196585472,2020-11-04 04:27:46,Oregon becomes first state to legalize psychedelic mushrooms https://t.co/inuH2OMUeF https://t.co/cBZwgbGltR,5089,18936,False,,,,,SocialFlow,http://www.socialflow.com,2992751,The Oregonian,Oregonian,2007-03-30 17:03:06,356432,News updates from the #1 news source in the Pacific NW. See it all at https://t.co/ToPnEy6ueV. Find reporter and more accounts in our lists.,True,False,"Portland, Oregon",1237,173241,4430
,1323845115442548737,2020-11-04 04:30:46,"Oregon has become the FIRST STATE in the country to decriminalize possession of small amounts of all drugs, includi… https://t.co/BpRYIUhblM",4918,26007,False,,,,,Twitter Web App,https://mobile.twitter.com,444304631,Maya Schenwar,MayaSchenwar,2011-12-23 03:47:18,12538,"Editor in Chief, @truthout! Co-author, Prison by Any Other Name (July 2020). Author, Locked Down, Locked Out. Co-editor, Who Do You Serve, Who Do You Protect?",True,False,"Chicago, IL",2285,23685,337
,1323862769947521025,2020-11-04 05:40:55,"Oregon has become the first state to decriminalize all drugs. Instead of criminal charges or jail time, anyone foun… https://t.co/Xd754M5nUF",2318,8680,False,,,,,Twitter Web App,https://mobile.twitter.com,701725963,NowThis,nowthisnews,2012-07-17 20:31:08,2707500,Stories that move. Send us tips: contact@nowthismedia.com. Subscribe to our daily newsletter: https://t.co/2sCY2rymF7,True,False,The Internet & NYC,11895,178299,8853
,1323840123801235456,2020-11-04 04:10:55,"อัปเดต #เลือกตั้งสหรัฐ2020 - 4 พ.ย. 11.00

ผลการเลือกตั้ง ปธน. สหรัฐฯ :
   🔵️ โจ ไบเดน : 209
   🔴️ โดนัลด์ ทรัมป์ :… https://t.co/kv1JJIIGoa",2459,711,False,,,"{'text': 'เลือกตั้งสหรัฐ2020', 'indices': [7, 26]}",,Twitter Web App,https://mobile.twitter.com,9594042,MThai,mthai,2007-10-22 09:16:14,1639822,อัปเดตทุกเรื่องฮิต เกาะติดทุกกระแส,True,False,Thailand,4446,184810,1028
,1323850479034634240,2020-11-04 04:52:04,"Oregon just voted to decriminalize all drugs, according to the New York Times and the AP. It’s a major step toward… https://t.co/2wJgqgnGRA",1552,7879,False,,,,,Chorus publishing platform,http://www.voxmedia.com,2347049341,Vox,voxdotcom,2014-02-16 15:46:00,993980,Understand the news. Subscribe to our daily explainer podcast: https://t.co/KxSxa4Ijqx,True,False,,296,129092,16125
,1323755977221541891,2020-11-03 22:36:33,Republican Poll Volunteers Kicked Out Of Rural Oregon Election Office via @gatewaypundit https://t.co/7yFY1paC6Y,1026,907,False,,,,"{'screen_name': 'gatewaypundit', 'name': 'Jim Hoft', 'id': 19211550, 'id_str': '19211550', 'indices': [74, 88]}",Twitter Web App,https://mobile.twitter.com,19211550,Jim Hoft,gatewaypundit,2009-01-20 00:45:40,346831,TGP Founder - Where Hope Made a Comeback - Top Choice of those who seek truth and fulfillment,True,False,"St. Louis, Missouri",1497,113947,2965
,1323845314999132160,2020-11-04 04:31:33,"Oregon has become the first state to decriminalize drug possession. 

Oregonians can no longer be criminally charge… https://t.co/6IRF8HeVNw",1507,5342,False,,,,,Twitter Web App,https://mobile.twitter.com,286998245,philip lewis,Phil_Lewis_,2011-04-24 03:45:44,132008,detroit native. front page editor @huffpost. check out my newsletter! 👇🏾,True,False,"Washington, DC",2179,199846,1146
,1323874618827046915,2020-11-04 06:28:00,Oregon just decriminalized drug possession in small amounts. The move marks a change from the so-called war on drug… https://t.co/j16yfAzKW3,1390,4793,False,,,,,Twitter Web App,https://mobile.twitter.com,110396781,AJ+,ajplus,2010-02-01 11:53:42,1165975,"AJ+ is a unique digital news and storytelling project promoting human rights and equality, holding power to account, and amplifying the voices of the powerless.",True,False,,359,86365,6893
