,text,retweetCount,likeCount,isQuote,source,userId,userFollowersCount,userVerified,userProtected,userFriendsCount,userStatusesCount,userListedCount,userOnTwitter(Months),trending,feat_0,feat_1,feat_2,feat_3,feat_4,flair_sentiment,flair_fast_sentiment,polarity,polarity_positive,polarity_negative,polarity_compound
0,".... annnnd now he loses 5th Amendment protections against self - incrimination , and thus can be compelled to testify or i …",2999,0,True,WEB,800762241825980416,243,False,False,561,6598,0,48,0,0.0004884096629973326,0.0031809244718287812,0.005748206033737837,0.007676798036342688,0.008152684374647782,-0.9920797944068909,-0.8380765318870544,-0.3,0.049,0.094,-0.2732
1,"BREAKING : As the Supreme Court long ago established as a matter of settled law , Michael Flynn has admitted his guilt b …",1639,0,False,IPHONE,628818151,2881,False,False,2726,257721,96,100,0,0.0007263528321498792,0.0015779389112221512,0.0017156954828367835,0.0019536386519893303,0.002116441872988441,0.7533755898475647,0.7520005702972412,-0.05,0.216,0.074,0.4588
2,"On General Michael Flynn ' s pardon As Trump pardoned his first National Security Advisor , who lied to hide Russia connectio …",1045,0,False,IPHONE,1018697824282656768,10893,False,False,11596,103267,15,28,0,1.2523324692239296e-05,0.0007263528321498792,0.0018033587556824586,0.0031934477965210204,0.0034814842644425243,-0.9437357783317566,0.6579892635345459,0.15000000000000002,0.228,0.149,0.3182
3,"Now correct me if I am wrong , but does not Michael Flynn lose his 5th Amendment protections against self - incrimination no …",264,0,False,ANDROID,790033182011695105,1871,False,False,4178,101642,2,49,0,0.00038822306545941815,0.0007263528321498792,0.001402612365530801,0.00355662421259596,0.005748206033737837,0.6076139807701111,-0.9842953681945801,-0.5,0.1,0.169,-0.2413
4,".... but now Flynn loses 5th Amendment protections against self - incrimination , and thus can be compelled …",0,0,False,IPHONE,1317539640170049536,22,False,False,102,3191,0,1,0,0.0004884096629973326,0.0031809244718287812,0.005748206033737837,0.007676798036342688,0.008152684374647782,-0.9609224796295166,-0.7721281051635742,-0.3,0.061,0.139,-0.3919
5,"BREAKING : As the Supreme Court long ago established as a matter of settled law , Michael Flynn has admitted his guilt b …",1639,0,False,ANDROID,2519062170,76,False,False,313,6494,0,78,0,0.0007263528321498792,0.0015779389112221512,0.0017156954828367835,0.0019536386519893303,0.002116441872988441,0.7533755898475647,0.7520005702972412,-0.05,0.216,0.074,0.4588
6,"BREAKING : As the Supreme Court long ago established as a matter of settled law , Michael Flynn has admitted his guilt b …",1639,0,False,ANDROID,933344382,542,False,False,1389,38958,15,96,0,0.0007263528321498792,0.0015779389112221512,0.0017156954828367835,0.0019536386519893303,0.002116441872988441,0.7533755898475647,0.7520005702972412,-0.05,0.216,0.074,0.4588
7,".... annnnd now he loses 5th Amendment protections against self - incrimination , and thus can be compelled to testify or i …",2999,0,True,ANDROID,22232322,2357,False,False,4065,773907,305,141,0,0.0004884096629973326,0.0031809244718287812,0.005748206033737837,0.007676798036342688,0.008152684374647782,-0.9920797944068909,-0.8380765318870544,-0.3,0.049,0.094,-0.2732
8,"Now correct me if I am wrong , but does not Michael Flynn lose his 5th Amendment protections against self - incrimination no …",264,0,False,IPHONE,820446278299635712,722,False,False,1674,65280,1,46,0,0.00038822306545941815,0.0007263528321498792,0.001402612365530801,0.00355662421259596,0.005748206033737837,0.6076139807701111,-0.9842953681945801,-0.5,0.1,0.169,-0.2413
9,"Now correct me if I am wrong , but does not Michael Flynn lose his 5th Amendment protections against self - incrimination no …",264,0,False,WEB,1274372513443786753,393,False,False,595,15477,0,5,0,0.00038822306545941815,0.0007263528321498792,0.001402612365530801,0.00355662421259596,0.005748206033737837,0.6076139807701111,-0.9842953681945801,-0.5,0.1,0.169,-0.2413
10,Really telling that Trump has given Flynn a full pardon Flynn has now lost his 5th Amendment right against self - incrimin …,94,0,False,WEB,1326925591162085382,5,False,False,93,730,0,0,0,0.0017156954828367835,0.005748206033737837,0.008152684374647782,0.010732489261249076,0.016668545165370502,-0.9928036332130432,-0.9639293551445007,0.2785714285714286,0.09,0.09,0.0
11,By accepting the pardon Flynn will be admitting he is guilty . For the third tim …,1,0,False,IPHONE,838742964587352064,17756,False,False,17743,8325,17,44,0,0.0010644825988403402,0.0016405555346833476,0.01908554683097269,0.025660292294398316,0.02791449073900139,-0.5218269228935242,-0.6078160405158997,-0.25,0.226,0.129,0.2732
12,"Now correct me if I am wrong , but does not Michael Flynn lose his 5th Amendment protections against self - incrimination no …",264,0,False,IPHONE,813292471975366656,305,False,False,2884,183922,3,47,0,0.00038822306545941815,0.0007263528321498792,0.001402612365530801,0.00355662421259596,0.005748206033737837,0.6076139807701111,-0.9842953681945801,-0.5,0.1,0.169,-0.2413
13,"On General Michael Flynn ' s pardon As Trump pardoned his first National Security Advisor , who lied to hide Russia connectio …",1044,0,False,ANDROID,884224110414381056,5440,False,False,4655,40229,2,40,0,1.2523324692239296e-05,0.0007263528321498792,0.0018033587556824586,0.0031934477965210204,0.0034814842644425243,-0.9437357783317566,0.6579892635345459,0.15000000000000002,0.228,0.149,0.3182
14,"Now correct me if I am wrong , but does not Michael Flynn lose his 5th Amendment protections against self - incrimination no …",264,0,False,IPHONE,122173354,4978,False,False,4759,433118,16,128,0,0.00038822306545941815,0.0007263528321498792,0.001402612365530801,0.00355662421259596,0.005748206033737837,0.6076139807701111,-0.9842953681945801,-0.5,0.1,0.169,-0.2413
15,"So , Flynn has no 5th amendment protection anymore , and he can be called to testify before Congress again ... Hey …",968,0,False,IPHONE,628818151,2881,False,False,2726,257721,96,100,0,0.0004884096629973326,0.0017156954828367835,0.007676798036342688,0.012097531652703159,0.01564163254060688,-0.9603440165519714,-0.882818341255188,0.0,0.0,0.091,-0.296
16,"So , Flynn has no 5th amendment protection anymore , and he can be called to testify before Congress again ... Hey …",968,0,False,ANDROID,348894164,16723,False,False,16055,69575,13,111,0,0.0004884096629973326,0.0017156954828367835,0.007676798036342688,0.012097531652703159,0.01564163254060688,-0.9603440165519714,-0.882818341255188,0.0,0.0,0.091,-0.296
17,"BREAKING : As the Supreme Court long ago established as a matter of settled law , Michael Flynn has admitted his guilt b …",1639,0,False,ANDROID,1100661687697342465,67,False,False,790,19718,0,21,0,0.0007263528321498792,0.0015779389112221512,0.0017156954828367835,0.0019536386519893303,0.002116441872988441,0.7533755898475647,0.7520005702972412,-0.05,0.216,0.074,0.4588
18,"Fun fact ; now he is been pardoned , Mike Flynn loses all protection against compelled testimony under the 5th Amendment ,…",769,0,False,IPHONE,891015532392173573,646,False,False,1012,141660,0,40,0,0.0016405555346833476,0.004107650499054489,0.005748206033737837,0.020162552754505268,0.02204105145834116,-0.9419771432876587,0.6795808672904968,0.0,0.24,0.086,0.4767
19,Subpoena Flynn today . He no longer has any 5th Amendment barrier to his being compelled to tesify .,0,0,False,WEB,186110873,711,False,False,921,21134,0,123,0,0.00046336301361285396,0.005748206033737837,0.0092422136228726,0.03336213698012548,0.045559855230366555,0.9600085020065308,0.5033227205276489,0.0,0.057,0.177,-0.3612
20,"Now correct me if I am wrong , but does not Michael Flynn lose his 5th Amendment protections against self - incrimination no …",264,0,False,ANDROID,585260752,170,False,False,217,17872,2,102,0,0.00038822306545941815,0.0007263528321498792,0.001402612365530801,0.00355662421259596,0.005748206033737837,0.6076139807701111,-0.9842953681945801,-0.5,0.1,0.169,-0.2413
21,By accepting the pardon Flynn will be admitting he is guilty . For the thir …,1,1,False,IPHONE,838742964587352064,17756,False,False,17743,8325,17,44,0,0.0010644825988403402,0.0016405555346833476,0.025660292294398316,0.02791449073900139,0.02792701406369363,-0.6509786248207092,-0.6781212687492371,-0.5,0.237,0.135,0.2732
22,conspiracy . A pardon also causes the pardoned to plead guilty for all crimes pardoned . It also does away with their 5th ame …,728,0,False,WEB,831616856473604097,3034,False,False,2777,230291,6,45,0,0.0014401823396075191,0.0014527056642997583,0.01565415586529912,0.06788894315662922,0.08232833652678113,0.7751389741897583,0.9235777258872986,-0.5,0.189,0.192,-0.2732
23,"BREAKING : As the Supreme Court long ago established as a matter of settled law , Michael Flynn has admitted his guilt b …",1639,0,False,IPHONE,824898533203406848,5308,False,False,5776,106156,1,46,0,0.0007263528321498792,0.0015779389112221512,0.0017156954828367835,0.0019536386519893303,0.002116441872988441,0.7533755898475647,0.7520005702972412,-0.05,0.216,0.074,0.4588
24,"Good news about the Flynn pardon is , by accepting the pardon , he no longer has any 5th amendment rights . So if he goes to …",176,0,False,IPHONE,628818151,2881,False,False,2726,257721,96,100,0,0.0013399957420696046,0.002830271380446081,0.004733816733666454,0.0121100549773954,0.020200122728581984,-0.9487101435661316,-0.5199421048164368,0.7,0.286,0.062,0.7845
25,I do not think a pardon of a criminal co - conspirator of yours will hold up once everything comes out next year . Now he …,1115,0,True,ANDROID,240940301,3152,False,False,4932,98750,7,118,0,0.0006512128839964434,0.0013024257679928868,0.005936055904121426,0.0081902543487245,0.012661081263853928,0.7009419202804565,0.6047207117080688,-0.2,0.0,0.177,-0.6555
26,Hey Congress ? Time to call General Flynn to testify fully on Trump 2016 election interference w …,716,0,False,WEB,149989206,121,False,False,305,29107,1,126,0,0.010406882819250854,0.012097531652703159,0.03343727692827892,0.05117030469248976,0.051182828017182,-0.8184099793434143,0.7006011009216309,0.05000000000000002,0.0,0.0,0.0
